id_clima,fecha,zona,temperatura_promedio_c,lluvia_mm,humedad_relativa_pct,observacion_climatica
C-00428,2025-02-01,Sur,29.2,8.5,87.8,sequía leve
C-00429,2025-01-12,Occidente,32.0,8.5,95.7,soleado
C-00430,2025-02-19,Norte,33.1,17.3,56.3,sequía leve
C-00431,2025-02-16,Oriente,26.2,38.5,66.2,lluvia
C-00432,2025-02-08,Oriente,18.4,0,52.8,soleado
C-00433,2025-06-01,Oriente,30.2,0,87.5,sequía leve
C-00434,2025-07-27,Centro,31.0,19.9,73.4,lluvia
C-00435,2025-12-08,Norte,25.6,4.3,93.7,estable
C-00436,2025-10-02,Occidente,21.0,16.3,55.9,estable
C-00437,2025-02-13,Sur,18.7,25.4,47.9,tormenta
C-00438,2025-03-29,Occidente,34.1,15.0,51.4,soleado
C-00439,2025-01-03,Occidente,29.8,5.1,46.6,soleado
C-00440,2025-02-13,Oriente,34.9,2.3,93.2,lluvia
C-00441,2025-02-06,Norte,32.0,20.8,89.1,nublado
C-00442,2025-11-24,Sur,34.1,11.8,93.3,estable
C-00443,2025-12-19,Centro,21.6,7.9,54.4,lluvia
C-00444,2025-06-24,Centro,24.9,0,86.0,sequía leve
C-00445,2025-09-18,Occidente,30.3,7.7,92.1,nublado
C-00446,2025-10-20,Norte,25.6,8.1,51.2,sequía leve
C-00447,2025-12-28,Occidente,18.2,0,61.5,nublado
C-00448,2025-05-12,Sur,19.9,16.8,75.3,sequía leve
C-00449,2025-06-28,Oriente,31.7,0,83.3,lluvia
C-00450,2025-10-30,Oriente,26.4,10.3,67.3,soleado
C-00451,2025-01-02,Occidente,33.2,0,48.8,nublado
C-00452,2025-04-06,Sur,32.1,11.4,91.7,sequía leve
C-00453,2025-04-11,Norte,28.3,7.4,52.6,lluvia
C-00454,2025-05-14,Occidente,24.6,3.7,74.4,lluvia
C-00455,2025-03-19,Oriente,22.0,35.8,74.9,soleado
C-00456,2025-07-12,Sur,21.5,15.4,79.2,tormenta
C-00457,2025-04-13,Sur,19.2,74.4,76.0,soleado
C-00458,2025-10-11,Oriente,34.4,0,51.0,estable
C-00459,2025-09-10,Oriente,17.1,16.7,88.8,sequía leve
C-00460,2025-02-11,Oriente,32.1,12.5,50.9,estable
C-00461,2025-08-15,Occidente,33.1,23.0,59.8,soleado
C-00462,2025-04-17,Oriente,16.9,12.5,86.3,estable
C-00463,2025-02-19,Occidente,16.1,8.6,48.0,nublado
C-00464,2025-08-26,Occidente,25.1,9.7,72.1,sequía leve
C-00465,2025-12-17,Sur,30.9,0,48.3,tormenta
C-00466,2025-02-02,Centro,34.2,14.3,63.1,soleado
C-00467,2025-02-27,Sur,25.3,0,47.5,soleado
C-00468,2025-03-21,Norte,23.6,0,70.3,tormenta
C-00469,2025-12-11,Sur,19.7,9.1,71.1,tormenta
C-00470,2025-10-05,Norte,20.3,0,79.4,nublado
C-00471,2025-06-07,Oriente,33.7,13.2,65.9,nublado
C-00472,2025-01-20,Occidente,22.6,0,66.8,estable
C-00473,2025-08-18,Sur,32.3,1.5,67.9,sequía leve
C-00474,2025-07-04,Sur,17.6,18.3,76.6,nublado
C-00475,2025-04-12,Sur,18.7,14.3,80.8,lluvia
C-00476,2025-02-27,Oriente,31.1,23.2,53.3,soleado
C-00477,2025-12-08,Sur,30.4,64.6,80.1,estable
C-00478,2025-12-16,Norte,24.6,1.6,77.0,estable
C-00479,2025-10-20,Centro,33.6,0,70.2,estable
C-00480,2025-10-09,Centro,22.1,10.8,88.4,estable
C-00481,2025-09-17,Oriente,28.9,14.4,48.7,soleado
C-00482,2025-10-22,Norte,28.2,0,72.8,lluvia
C-00483,2025-04-24,Oriente,29.1,9.5,86.9,sequía leve
C-00484,2025-08-14,Oriente,34.5,0.6,84.3,tormenta
C-00485,2025-09-05,Centro,21.8,14.8,90.2,tormenta
C-00486,2025-10-04,Centro,22.8,22.7,67.1,soleado
C-00487,2025-12-20,Occidente,28.5,9.3,65.4,nublado
C-00488,2025-07-02,Occidente,34.6,7.7,72.2,sequía leve
C-00489,2025-03-15,Centro,34.1,6.4,76.7,estable
C-00490,2025-09-02,Sur,19.2,14.3,64.5,tormenta
C-00491,2025-06-17,Norte,20.8,0,73.2,soleado
C-00492,2025-04-17,Sur,33.8,8.4,85.8,soleado
C-00493,2025-08-08,Centro,27.0,0,84.9,nublado
C-00494,2025-12-26,Occidente,32.2,0,74.6,lluvia
C-00495,2025-08-19,Sur,16.9,10.7,66.7,nublado
C-00496,2025-12-14,Centro,29.3,0,72.4,sequía leve
C-00497,2025-12-25,Norte,19.3,16.1,90.8,tormenta
C-00498,2025-12-16,Occidente,28.0,6.4,50.0,tormenta
C-00499,2025-07-13,Centro,30.0,2.3,89.5,lluvia
C-00500,2025-11-24,Norte,31.5,10.0,67.8,soleado
C-00501,2025-05-16,Sur,25.4,0,79.3,lluvia
C-00502,2025-04-05,Centro,26.0,11.0,80.6,lluvia
C-00503,2025-07-27,Sur,16.4,60.3,72.0,lluvia
C-00504,2025-09-30,Oriente,26.7,0,78.3,estable
C-00505,2025-08-30,Occidente,20.1,0,55.8,nublado
C-00506,2025-10-09,Norte,33.6,0,45.8,estable
C-00507,2025-10-06,Centro,34.4,0,88.3,estable
C-00508,2025-11-13,Oriente,24.4,0,59.3,tormenta
C-00509,2025-01-30,Oriente,25.8,3.8,52.9,estable
C-00510,2025-10-05,Oriente,31.8,4.3,83.6,tormenta
C-00511,2025-12-21,Norte,28.5,3.0,78.4,nublado
C-00512,2025-03-08,Norte,18.1,8.5,79.8,sequía leve
C-00513,2025-09-22,Sur,27.6,10.5,68.6,tormenta
C-00514,2025-12-22,Centro,25.2,5.5,61.6,lluvia
C-00515,2025-10-31,Norte,21.1,0,92.9,sequía leve
C-00516,2025-03-12,Oriente,28.9,13.2,71.5,lluvia
C-00517,2025-07-22,Sur,25.0,0,46.8,estable
C-00518,2025-10-20,Occidente,22.5,5.1,48.3,estable
C-00519,2025-12-13,Centro,28.5,0,68.6,lluvia
C-00520,2025-01-20,Centro,24.8,2.9,66.3,soleado
C-00521,2025-08-27,Oriente,24.9,14.1,85.9,sequía leve
C-00522,2025-07-21,Centro,22.1,0,57.6,soleado
C-00523,2025-01-01,Oriente,25.0,8.7,82.9,lluvia
C-00524,2025-06-09,Centro,32.4,17.4,85.4,tormenta
C-00525,2025-09-16,Sur,34.2,0.3,96.5,nublado
C-00526,2025-05-11,Occidente,18.6,16.0,70.8,soleado
C-00527,2025-10-28,Norte,32.2,3.4,61.0,nublado
C-00528,2025-05-11,Sur,32.2,6.1,71.9,estable
C-00529,2025-01-18,Centro,26.0,0,66.6,tormenta
C-00530,2025-09-11,Sur,29.9,1.7,56.6,nublado
C-00531,2025-02-10,Centro,27.2,0,66.7,tormenta
C-00532,2025-07-29,Norte,17.6,19.7,54.3,lluvia
C-00533,2025-03-23,Occidente,28.1,0,46.8,estable
C-00534,2025-01-09,Oriente,24.8,6.4,59.3,soleado
C-00535,2025-09-17,Norte,27.8,7.5,69.0,lluvia
C-00536,2025-02-06,Sur,25.7,1.9,53.9,lluvia
C-00537,2025-11-21,Occidente,23.1,3.5,91.4,soleado
C-00538,2025-02-28,Oriente,29.4,13.1,54.2,nublado
C-00539,2025-05-31,Centro,25.1,8.4,69.0,lluvia
C-00540,2025-10-04,Sur,23.7,0.5,54.1,nublado
C-00541,2025-09-04,Oriente,30.0,8.6,92.0,soleado
C-00542,2025-06-27,Sur,21.9,9.6,65.1,nublado
C-00543,2025-09-08,Norte,27.9,6.0,91.7,lluvia
C-00544,2025-10-23,Centro,32.1,0.0,53.5,nublado
C-00545,2025-01-29,Sur,31.0,10.8,89.1,tormenta
C-00546,2025-06-23,Sur,24.2,13.2,88.9,tormenta
C-00547,2025-12-18,Oriente,26.1,15.6,89.0,estable
C-00548,2025-01-10,Occidente,16.2,0,47.0,nublado
C-00549,2025-06-12,Centro,30.3,4.6,59.0,sequía leve
C-00550,2025-05-01,Oriente,30.0,11.1,81.7,sequía leve
C-00551,2025-01-02,Norte,25.2,0,72.6,soleado
C-00552,2025-06-04,Centro,20.4,0,51.8,soleado
C-00553,2025-08-16,Oriente,34.3,3.0,56.2,soleado
C-00554,2025-02-13,Centro,22.1,13.6,81.9,lluvia
C-00555,2025-03-28,Occidente,18.3,0.2,70.7,soleado
C-00556,2025-07-30,Occidente,28.4,5.3,82.4,tormenta
C-00557,2025-10-29,Norte,28.4,10.6,82.7,sequía leve
C-00558,2025-05-13,Sur,34.4,20.3,49.8,sequía leve
C-00559,2025-05-28,Oriente,34.9,0,71.4,nublado
C-00560,2025-07-15,Oriente,29.3,15.0,97.7,estable
C-00561,2025-01-05,Sur,32.1,0.7,64.4,lluvia
C-00562,2025-11-17,Norte,31.9,9.8,65.6,estable
C-00563,2025-04-19,Centro,19.1,7.2,54.5,lluvia
C-00564,2025-03-07,Sur,30.8,6.6,89.1,estable
C-00565,2025-09-13,Occidente,19.6,10.8,47.4,tormenta
C-00566,2025-02-20,Norte,27.3,0.8,78.1,soleado
C-00567,2025-08-18,Sur,27.0,8.6,79.7,soleado
C-00568,2025-09-12,Centro,24.6,6.6,64.1,soleado
C-00569,2025-12-07,Sur,26.8,8.8,94.1,nublado
C-00570,2025-05-30,Oriente,24.3,0,82.1,sequía leve
C-00571,2025-08-13,Centro,18.8,0,75.1,soleado
C-00572,2025-01-12,Norte,30.4,12.6,89.5,tormenta
C-00573,2025-05-30,Centro,26.3,12.6,54.7,estable
C-00574,2025-12-12,Norte,26.2,0,75.2,tormenta
C-00575,2025-03-04,Occidente,19.3,14.0,78.7,tormenta
C-00576,2025-04-18,Sur,32.6,42.5,93.3,nublado
C-00577,2025-07-31,Occidente,20.1,17.4,55.5,sequía leve
C-00578,2025-09-09,Oriente,28.6,19.3,86.4,soleado
C-00579,2025-11-11,Sur,20.7,0,69.3,nublado
C-00580,2025-06-18,Occidente,25.9,10.2,92.8,tormenta
C-00581,2025-08-18,Occidente,33.0,1.1,46.1,tormenta
C-00582,2025-05-24,Sur,18.4,11.6,95.3,lluvia
C-00583,2025-03-08,Sur,22.0,18.3,61.7,sequía leve
C-00584,2025-04-11,Norte,32.0,7.8,92.6,tormenta
C-00585,2025-01-04,Norte,34.6,23.8,74.7,estable
C-00586,2025-11-01,Oriente,32.6,0,94.9,soleado
C-00587,2025-01-09,Occidente,29.9,10.6,67.2,estable
C-00588,2025-02-11,Norte,32.1,14.9,82.6,lluvia
C-00589,2025-10-06,Oriente,21.1,0,78.9,lluvia
C-00590,2025-01-17,Oriente,21.8,4.1,67.6,soleado
C-00591,2025-11-21,Norte,21.0,3.1,78.6,tormenta
C-00592,2025-06-10,Occidente,27.5,7.2,94.7,tormenta
C-00593,2025-11-18,Sur,32.7,0,52.1,lluvia
C-00594,2025-09-17,Oriente,27.5,21.0,73.3,soleado
C-00595,2025-07-18,Oriente,34.3,12.4,92.6,sequía leve
C-00596,2025-12-21,Norte,17.3,11.9,93.6,nublado
C-00597,2025-06-26,Occidente,19.1,11.6,53.7,lluvia
C-00598,2025-03-13,Norte,27.5,4.2,61.6,nublado
C-00599,2025-03-09,Oriente,30.3,0,87.9,lluvia
C-00600,2025-07-14,Sur,16.2,13.1,77.6,tormenta
C-00601,2025-06-25,Norte,33.9,7.2,68.6,estable
C-00602,2025-11-22,Norte,27.3,14.3,84.4,estable
C-00603,2025-11-25,Centro,17.2,7.0,76.0,estable
C-00604,2025-07-21,Occidente,33.1,12.3,60.9,lluvia
C-00605,2025-12-27,Norte,26.0,0,90.9,lluvia
C-00606,2025-01-09,Sur,25.1,2.4,48.5,estable
C-00607,2025-01-11,Centro,21.8,14.2,74.6,lluvia
C-00608,2025-04-24,Centro,17.7,9.4,97.0,nublado
C-00609,2025-06-24,Norte,22.0,0,74.9,tormenta
C-00610,2025-02-12,Occidente,29.7,0,83.7,sequía leve
C-00611,2025-01-20,Oriente,22.1,0,66.1,nublado
C-00612,2025-01-03,Sur,20.6,5.6,84.5,tormenta
C-00613,2025-02-08,Sur,31.0,0,79.6,tormenta
C-00614,2025-07-13,Centro,21.7,11.1,63.1,soleado
C-00615,2025-11-05,Occidente,17.4,13.5,61.7,lluvia
C-00616,2025-05-27,Oriente,24.3,0,55.8,sequía leve
C-00617,2025-04-27,Norte,31.0,12.7,79.9,lluvia
C-00618,2025-07-07,Norte,29.8,0,94.2,estable
C-00619,2025-06-05,Oriente,24.2,8.4,87.5,lluvia
C-00620,2025-12-19,Occidente,27.9,19.0,87.9,sequía leve
C-00621,2025-07-01,Norte,18.2,11.1,93.8,estable
C-00622,2025-11-30,Occidente,21.5,18.4,86.1,tormenta
C-00623,2025-09-04,Centro,31.2,51.5,73.3,soleado
C-00624,2025-08-19,Occidente,26.1,0.2,95.7,sequía leve
C-00625,2025-09-09,Sur,20.4,3.1,85.0,soleado
C-00626,2025-06-01,Centro,29.8,13.0,51.8,lluvia
C-00627,2025-06-25,Sur,19.8,0,90.1,soleado
C-00628,2025-12-22,Centro,29.2,2.5,67.5,soleado
C-00629,2025-08-17,Oriente,31.3,0,58.0,soleado
C-00630,2025-04-06,Norte,22.3,14.4,55.7,tormenta
C-00631,2025-06-08,Sur,25.5,18.3,63.8,sequía leve
C-00632,2025-07-18,Occidente,32.8,12.4,54.9,lluvia
C-00633,2025-06-20,Sur,28.6,2.0,47.5,sequía leve
C-00634,2025-01-01,Oriente,32.8,3.2,82.9,soleado
C-00635,2025-05-23,Occidente,20.9,13.3,48.6,lluvia
C-00636,2025-09-09,Centro,19.8,5.1,82.4,sequía leve
C-00637,2025-01-17,Oriente,26.1,13.1,58.9,soleado
C-00638,2025-01-23,Occidente,30.0,0,59.2,tormenta
C-00639,2025-03-17,Centro,34.6,24.0,90.0,lluvia
C-00640,2025-05-14,Norte,33.3,0,53.8,lluvia
C-00641,2025-08-13,Sur,23.5,17.0,72.6,estable
C-00642,2025-03-19,Norte,16.3,0,91.1,nublado
C-00643,2025-10-10,Occidente,33.6,0.3,75.1,tormenta
C-00644,2025-12-02,Norte,31.3,0,66.2,lluvia
C-00645,2025-08-17,Occidente,21.0,36.0,47.9,tormenta
C-00646,2025-02-11,Centro,17.9,9.6,55.3,nublado
C-00647,2025-09-29,Centro,30.6,8.5,76.3,tormenta
C-00648,2025-07-26,Norte,17.9,7.9,92.8,tormenta
C-00649,2025-03-09,Oriente,30.6,10.1,68.4,soleado
C-00650,2025-12-16,Norte,32.5,70.7,81.4,estable
C-00651,2025-08-27,Centro,29.5,16.4,82.5,sequía leve
C-00652,2025-03-09,Occidente,29.8,5.5,92.2,lluvia
C-00653,2025-01-07,Occidente,30.3,65.4,79.3,soleado
C-00654,2025-03-14,Norte,18.9,2.8,92.6,sequía leve
C-00655,2025-06-11,Oriente,16.4,9.7,87.3,nublado
C-00656,2025-10-31,Norte,17.9,11.2,87.4,estable
C-00657,2025-04-16,Sur,20.9,14.8,93.0,lluvia
C-00658,2025-08-07,Sur,25.4,47.2,60.3,lluvia
C-00659,2025-12-17,Sur,20.4,0,89.7,estable
C-00660,2025-05-21,Centro,23.6,4.3,81.2,soleado
C-00661,2025-02-15,Norte,19.9,9.4,57.5,sequía leve
C-00662,2025-12-11,Occidente,18.6,15.8,96.5,estable
C-00663,2025-09-15,Oriente,34.0,7.8,65.8,nublado
C-00664,2025-09-14,Occidente,33.4,15.7,66.6,soleado
C-00665,2025-08-10,Centro,19.3,15.7,91.1,tormenta
C-00666,2025-08-15,Oriente,26.2,4.9,69.7,sequía leve
C-00667,2025-10-20,Norte,31.8,11.0,83.0,nublado
C-00668,2025-01-18,Occidente,31.4,10.6,54.6,tormenta
C-00669,2025-09-21,Occidente,33.2,1.4,98.0,estable
C-00670,2025-10-30,Oriente,32.8,42.2,58.3,estable
C-00671,2025-07-08,Norte,28.9,5.9,50.0,soleado
C-00672,2025-04-07,Centro,21.4,13.4,61.1,sequía leve
C-00673,2025-11-01,Centro,34.4,49.7,67.1,nublado
C-00674,2025-05-07,Oriente,27.0,5.5,76.8,estable
C-00675,2025-09-05,Norte,21.8,11.9,58.9,tormenta
C-00676,2025-01-14,Oriente,27.7,6.7,83.1,tormenta
C-00677,2025-06-18,Norte,22.0,1.1,85.0,tormenta
C-00678,2025-05-10,Norte,18.6,0,82.0,estable
C-00679,2025-08-27,Sur,20.1,4.9,48.3,soleado
C-00680,2025-09-01,Oriente,18.8,12.8,73.2,tormenta
C-00681,2025-04-10,Centro,17.5,4.6,71.1,sequía leve
C-00682,2025-11-06,Oriente,30.6,9.5,53.6,estable
C-00683,2025-05-11,Oriente,28.8,24.2,74.2,soleado
C-00684,2025-04-18,Norte,34.6,3.1,68.2,soleado
C-00685,2025-02-25,Oriente,26.6,2.3,51.4,tormenta
C-00686,2025-03-13,Centro,24.9,11.8,47.1,tormenta
C-00687,2025-10-20,Oriente,20.5,12.5,92.8,tormenta
C-00688,2025-10-22,Oriente,28.6,5.5,90.4,nublado
C-00689,2025-07-06,Centro,21.9,2.7,66.2,estable
C-00690,2025-10-13,Norte,33.6,7.9,91.0,lluvia
C-00691,2025-01-10,Oriente,34.5,14.8,56.3,lluvia
C-00692,2025-11-13,Centro,16.2,0,72.1,estable
C-00693,2025-02-19,Sur,27.4,14.9,77.7,nublado
C-00694,2025-01-04,Sur,16.1,4.4,53.4,nublado
C-00695,2025-07-11,Sur,25.0,5.2,84.3,soleado
C-00696,2025-01-11,Occidente,21.8,14.5,75.2,soleado
C-00697,2025-09-27,Centro,19.8,10.7,76.3,nublado
C-00698,2025-01-04,Centro,32.0,0,62.9,estable
C-00699,2025-02-16,Oriente,27.9,9.8,75.0,soleado
C-00700,2025-02-04,Occidente,34.6,31.2,86.6,tormenta
C-00701,2025-09-09,Norte,18.2,5.6,64.7,estable
C-00702,2025-01-06,Centro,28.2,17.6,80.5,soleado
C-00703,2025-06-17,Norte,26.6,6.7,91.8,sequía leve
C-00704,2025-08-30,Oriente,17.5,4.6,69.1,nublado
C-00705,2025-10-29,Centro,28.0,3.6,76.4,soleado
C-00706,2025-07-30,Centro,26.7,6.2,56.7,lluvia
C-00707,2025-11-27,Occidente,28.1,6.8,95.4,estable
C-00708,2025-12-11,Norte,24.4,1.5,47.2,nublado
C-00709,2025-08-05,Centro,34.3,0,92.7,estable
C-00710,2025-09-20,Norte,32.7,1.8,82.9,estable
C-00711,2025-09-24,Centro,23.7,8.4,74.1,tormenta
C-00712,2025-09-14,Occidente,24.6,8.9,55.6,soleado
C-00713,2025-11-20,Oriente,19.4,5.1,67.4,soleado
C-00714,2025-01-17,Occidente,31.1,2.4,65.9,soleado
C-00715,2025-01-12,Sur,25.2,17.3,46.8,lluvia
C-00716,2025-08-22,Norte,28.8,0,74.6,lluvia
C-00717,2025-01-23,Sur,22.8,0,79.3,soleado
C-00718,2025-06-14,Oriente,30.3,28.8,67.5,estable
C-00719,2025-01-05,Norte,23.8,7.5,86.7,soleado
C-00720,2025-10-10,Norte,23.3,5.2,48.0,tormenta
C-00721,2025-01-07,Norte,17.1,2.7,53.1,sequía leve
C-00722,2025-04-06,Norte,16.1,46.8,79.0,lluvia
C-00723,2025-01-05,Oriente,16.5,5.3,69.7,sequía leve
C-00724,2025-04-27,Norte,30.0,16.4,63.4,nublado
C-00725,2025-09-04,Occidente,18.6,4.8,51.6,nublado
C-00726,2025-04-03,Sur,23.3,0,47.0,soleado
C-00727,2025-05-14,Occidente,19.3,0,52.3,soleado
C-00728,2025-12-17,Norte,17.9,4.9,80.0,lluvia
C-00729,2025-02-14,Centro,21.5,0.3,52.1,nublado
C-00730,2025-07-09,Sur,23.2,1.4,62.4,estable
C-00731,2025-09-23,Occidente,31.6,8.4,87.3,tormenta
C-00732,2025-01-14,Oriente,17.8,0.8,71.2,lluvia
C-00733,2025-09-26,Oriente,23.1,0,60.8,sequía leve
C-00734,2025-05-18,Sur,28.4,0,82.5,tormenta
C-00735,2025-06-22,Norte,20.6,0,53.4,nublado
C-00736,2025-04-10,Centro,28.1,19.0,48.7,lluvia
C-00737,2025-10-03,Occidente,20.0,3.9,75.6,soleado
C-00738,2025-03-14,Sur,29.6,0.3,68.7,soleado
C-00739,2025-06-06,Sur,34.1,0,63.9,soleado
C-00740,2025-01-22,Oriente,17.6,5.5,70.7,lluvia
C-00741,2025-01-07,Oriente,26.7,7.0,74.5,tormenta
C-00742,2025-09-21,Occidente,24.4,4.9,88.6,lluvia
C-00743,2025-12-13,Norte,29.6,6.4,51.5,sequía leve
C-00744,2025-07-05,Occidente,20.4,10.2,95.4,lluvia
C-00745,2025-01-29,Centro,24.4,2.0,49.3,estable
C-00746,2025-10-05,Oriente,24.5,3.5,88.1,tormenta
C-00747,2025-10-20,Sur,27.7,4.7,95.4,soleado
C-00748,2025-10-03,Sur,16.7,7.1,50.3,sequía leve
C-00749,2025-08-10,Sur,30.5,4.3,68.7,tormenta
C-00750,2025-06-18,Occidente,24.3,19.2,66.1,tormenta
C-00751,2025-09-27,Sur,19.7,10.5,92.7,nublado
C-00752,2025-11-01,Sur,17.7,16.3,86.3,nublado
C-00753,2025-03-15,Norte,30.2,1.8,78.4,nublado
C-00754,2025-12-04,Occidente,31.6,0,77.4,nublado
C-00755,2025-11-12,Norte,19.8,10.0,57.1,lluvia
C-00756,2025-04-05,Centro,24.5,6.5,87.0,sequía leve
C-00757,2025-05-02,Oriente,17.0,3.4,64.4,sequía leve
C-00758,2025-01-16,Oriente,24.5,0,80.1,estable
C-00759,2025-02-08,Sur,24.9,4.0,77.1,sequía leve
C-00760,2025-03-23,Norte,23.3,0,55.0,lluvia
C-00761,2025-05-20,Occidente,20.3,0,95.4,estable
C-00762,2025-12-05,Occidente,17.2,17.2,49.0,tormenta
C-00763,2025-07-18,Occidente,24.4,5.4,90.3,estable
C-00764,2025-09-07,Centro,32.1,15.6,83.9,soleado
C-00765,2025-07-09,Sur,24.0,7.9,64.8,tormenta
C-00766,2025-10-02,Oriente,27.5,8.2,61.6,sequía leve
C-00767,2025-01-15,Oriente,29.5,6.9,62.1,soleado
C-00768,2025-09-16,Oriente,21.9,0,58.9,tormenta
C-00769,2025-05-02,Sur,16.9,0,72.5,soleado
C-00770,2025-04-26,Sur,16.3,14.6,64.2,lluvia
C-00771,2025-04-30,Sur,32.8,0,51.3,estable
C-00772,2025-09-11,Oriente,19.8,4.7,49.0,tormenta
C-00773,2025-05-09,Oriente,24.1,0,58.5,nublado
C-00774,2025-09-10,Oriente,30.4,11.7,73.9,sequía leve
C-00775,2025-11-20,Norte,28.4,19.3,47.9,lluvia
C-00776,2025-05-12,Centro,28.8,12.6,53.7,tormenta
C-00777,2025-02-21,Sur,30.8,3.4,82.9,estable
C-00778,2025-09-10,Occidente,19.7,3.3,65.6,sequía leve
C-00779,2025-12-04,Sur,19.0,5.0,49.4,nublado
C-00780,2025-03-16,Centro,17.2,0,65.3,nublado
C-00781,2025-02-09,Occidente,19.8,0,70.2,sequía leve
C-00782,2025-12-11,Centro,34.0,0.5,48.7,estable
C-00783,2025-05-03,Oriente,32.8,7.4,75.2,soleado
C-00784,2025-03-07,Sur,21.6,8.7,93.3,nublado
C-00785,2025-09-14,Oriente,18.3,9.7,93.0,soleado
C-00786,2025-04-20,Oriente,28.1,3.2,65.4,lluvia
C-00787,2025-07-20,Sur,17.3,12.3,65.2,lluvia
C-00788,2025-04-13,Norte,26.8,6.6,65.5,sequía leve
C-00789,2025-02-16,Occidente,19.5,11.5,45.8,sequía leve
C-00790,2025-08-30,Norte,20.6,73.2,89.7,nublado
C-00791,2025-10-23,Occidente,18.5,6.4,63.1,nublado
C-00792,2025-09-19,Norte,25.1,4.9,71.5,lluvia
C-00793,2025-11-29,Oriente,24.3,6.1,49.3,tormenta
C-00794,2025-03-31,Centro,22.2,10.8,97.8,lluvia
C-00795,2025-07-22,Sur,26.3,0,53.6,estable
C-00796,2025-04-15,Sur,23.0,0,67.5,sequía leve
C-00797,2025-06-23,Centro,18.1,10.9,86.5,sequía leve
C-00798,2025-10-24,Centro,25.0,0,60.7,tormenta
C-00799,2025-11-12,Occidente,22.7,0,59.2,nublado
C-00800,2025-02-07,Sur,34.2,10.5,54.1,soleado
C-00801,2025-06-13,Occidente,26.9,0,54.4,soleado
C-00802,2025-12-26,Centro,27.0,15.8,46.8,estable
C-00803,2025-07-05,Occidente,26.8,1.2,73.5,lluvia
C-00804,2025-04-25,Occidente,33.3,0,45.8,lluvia
C-00805,2025-10-26,Occidente,31.2,0,68.4,estable
C-00806,2025-02-25,Oriente,33.7,10.8,79.9,soleado
C-00807,2025-10-17,Centro,28.4,0,48.7,soleado
C-00808,2025-03-29,Sur,34.3,0,47.1,estable
C-00809,2025-08-25,Occidente,22.5,1.7,79.8,nublado
C-00810,2025-06-22,Centro,18.0,4.7,66.0,tormenta
C-00811,2025-11-04,Centro,24.0,2.4,90.0,estable
C-00812,2025-06-02,Occidente,18.3,7.6,59.6,estable
C-00813,2025-07-31,Sur,32.8,1.7,81.9,nublado
C-00814,2025-04-06,Centro,33.8,15.4,65.3,nublado
C-00815,2025-03-08,Oriente,31.7,3.9,86.7,nublado
C-00816,2025-12-20,Centro,21.7,15.0,52.8,nublado
C-00817,2025-11-29,Sur,33.0,0,68.9,sequía leve
C-00818,2025-10-30,Norte,28.6,0,83.2,sequía leve
C-00819,2025-08-31,Sur,29.2,8.9,88.1,nublado
C-00820,2025-05-02,Occidente,21.7,6.5,67.1,lluvia
C-00821,2025-01-14,Norte,30.3,0,80.1,tormenta
C-00822,2025-01-24,Oriente,30.4,6.3,65.7,nublado
C-00823,2025-08-28,Centro,20.4,0,65.7,nublado
C-00824,2025-03-17,Sur,17.7,8.1,80.3,sequía leve
C-00825,2025-10-03,Norte,18.7,6.4,83.5,sequía leve
C-00826,2025-01-28,Oriente,18.7,11.7,63.4,estable
C-00827,2025-08-17,Occidente,30.0,0,91.6,lluvia
C-00828,2025-07-27,Occidente,32.3,6.2,91.9,sequía leve
C-00829,2025-12-23,Norte,18.2,6.3,56.2,tormenta
C-00830,2025-04-26,Sur,19.8,15.8,58.3,lluvia
C-00831,2025-01-24,Sur,34.5,2.7,70.3,tormenta
C-00832,2025-11-16,Norte,20.6,0,75.9,sequía leve
C-00833,2025-06-04,Occidente,24.1,0,64.1,tormenta
C-00834,2025-10-28,Sur,25.7,7.6,50.1,soleado
C-00835,2025-06-03,Sur,20.6,4.3,48.5,estable
C-00836,2025-06-01,Centro,26.0,0,97.6,tormenta
C-00837,2025-11-27,Norte,19.6,1.3,69.9,soleado
C-00838,2025-08-26,Sur,21.8,3.5,83.2,sequía leve
C-00839,2025-12-21,Centro,26.1,2.5,95.8,sequía leve
C-00840,2025-06-24,Occidente,19.8,0,48.0,estable
C-00841,2025-06-16,Centro,19.7,0,78.7,sequía leve
C-00842,2025-09-01,Sur,29.9,15.0,61.3,lluvia
C-00843,2025-06-04,Occidente,21.9,0,51.7,estable
C-00844,2025-06-27,Centro,25.7,12.8,76.3,tormenta
C-00845,2025-05-25,Norte,30.2,0,96.2,estable
C-00846,2025-10-23,Norte,23.5,1.9,50.1,tormenta
C-00847,2025-06-22,Centro,31.9,0,68.5,soleado
C-00848,2025-03-21,Sur,24.0,4.9,88.6,soleado
C-00849,2025-10-28,Oriente,32.5,1.8,62.8,sequía leve
C-00850,2025-05-04,Norte,25.8,1.1,91.5,tormenta
C-00851,2025-09-28,Oriente,17.5,8.6,63.7,soleado
C-00852,2025-09-20,Centro,29.9,4.6,73.3,tormenta
C-00853,2025-09-08,Oriente,20.0,10.7,47.8,sequía leve
C-00854,2025-09-01,Oriente,34.2,8.8,94.9,tormenta
C-00855,2025-02-15,Oriente,19.6,10.8,58.5,nublado
C-00856,2025-06-05,Centro,34.0,0,53.6,soleado
C-00857,2025-03-17,Norte,33.8,17.8,67.5,sequía leve
